id,incident_description,accident_location_id,policy_id,accident_date,description,severity,surveyor_id,vehicle_id
1,Parking dent,1,1,2023-02-12 14:40:53,Significant front-end damage,Medium,1,1
2,Side-swipe,2,2,2023-05-07 20:32:38,Significant front-end damage,Medium,2,2
3,Theft report,3,3,2024-09-30 13:29:55,Minor damage to bumper,Low,3,3
4,Flood damage,4,4,2020-12-01 13:42:37,Engine stalled in water,Medium,4,4
5,Parking dent,5,5,2021-08-29 13:08:02,Scratches and dents,High,5,5
6,Theft report,6,6,2023-07-09 21:54:07,Scratches and dents,Low,6,6
7,Side-swipe,7,7,2025-04-28 14:16:48,Scratches and dents,Low,7,7
8,Broken windshield,8,8,2023-08-31 10:48:56,Scratches and dents,Medium,8,8
9,Flood damage,9,9,2025-01-20 07:48:29,Engine stalled in water,Low,9,9
10,Flood damage,10,10,2025-07-03 03:55:00,Scratches and dents,Medium,10,10
11,Theft report,11,11,2023-03-28 14:07:29,Scratches and dents,Low,11,11
12,Side-swipe,12,12,2020-02-26 17:26:05,Minor damage to bumper,Medium,12,12
13,Flood damage,13,13,2020-11-24 10:54:43,Windshield cracked,Medium,13,13
14,Flood damage,14,14,2023-12-14 07:40:12,Scratches and dents,Low,14,14
15,Broken windshield,15,15,2021-09-24 13:41:06,Engine stalled in water,Medium,15,15
16,Theft report,16,16,2024-10-12 21:06:31,Windshield cracked,High,16,16
17,Flood damage,17,17,2022-07-15 13:54:35,Engine stalled in water,Low,17,17
18,Flood damage,18,18,2024-10-29 05:08:24,Significant front-end damage,Low,18,18
19,Broken windshield,19,19,2025-09-09 02:19:29,Minor damage to bumper,High,19,19
20,Side-swipe,20,20,2025-06-14 06:14:08,Minor damage to bumper,Medium,20,20
21,Side-swipe,21,21,2021-02-09 22:41:21,Significant front-end damage,High,21,21
22,Side-swipe,22,22,2025-03-18 22:30:40,Significant front-end damage,High,22,22
23,Side-swipe,23,23,2024-04-17 18:02:38,Windshield cracked,Medium,23,23
24,Side-swipe,24,24,2021-06-09 17:40:37,Significant front-end damage,Medium,24,24
25,Flood damage,25,25,2021-01-31 01:18:24,Windshield cracked,High,25,25
26,Broken windshield,26,26,2023-09-05 19:20:10,Engine stalled in water,Low,26,26
27,Flood damage,27,27,2025-06-25 10:30:22,Scratches and dents,Medium,27,27
28,Flood damage,28,28,2023-03-11 14:41:34,Windshield cracked,High,28,28
29,Rear-end collision,29,29,2024-01-21 02:58:36,Minor damage to bumper,Low,29,29
30,Theft report,30,30,2023-02-03 06:59:56,Minor damage to bumper,High,30,30
31,Rear-end collision,31,31,2024-03-24 21:38:38,Minor damage to bumper,High,31,31
32,Broken windshield,32,32,2021-09-10 00:13:32,Scratches and dents,High,32,32
33,Broken windshield,33,33,2022-09-11 18:53:54,Engine stalled in water,Medium,33,33
34,Theft report,34,34,2022-09-21 18:33:10,Windshield cracked,High,34,34
35,Broken windshield,35,35,2025-01-13 19:30:37,Engine stalled in water,Low,35,35
36,Theft report,36,36,2024-07-17 20:11:11,Windshield cracked,Medium,36,36
37,Broken windshield,37,37,2025-07-20 13:43:31,Windshield cracked,Medium,37,37
38,Theft report,38,38,2021-08-05 18:40:17,Windshield cracked,Medium,38,38
39,Flood damage,39,39,2020-11-15 04:37:14,Windshield cracked,High,39,39
40,Side-swipe,40,40,2020-02-19 11:59:20,Windshield cracked,Low,40,40
41,Theft report,41,41,2020-09-18 08:45:36,Minor damage to bumper,Medium,41,41
42,Theft report,42,42,2020-02-09 10:00:48,Windshield cracked,Low,42,42
43,Rear-end collision,43,43,2023-05-09 08:52:11,Windshield cracked,Medium,43,43
44,Parking dent,44,44,2022-06-16 00:57:51,Minor damage to bumper,Medium,44,44
45,Theft report,45,45,2021-12-19 12:19:46,Scratches and dents,High,45,45
46,Broken windshield,46,46,2021-02-18 10:13:12,Engine stalled in water,Low,46,46
47,Theft report,47,47,2021-05-31 01:27:05,Windshield cracked,High,47,47
48,Theft report,48,48,2025-10-11 05:04:19,Engine stalled in water,Medium,48,48
49,Flood damage,49,49,2024-06-14 18:06:00,Scratches and dents,Low,49,49
50,Side-swipe,50,50,2024-08-19 01:55:54,Significant front-end damage,High,50,50
51,Rear-end collision,51,51,2020-03-30 18:32:10,Scratches and dents,Low,51,51
52,Parking dent,52,52,2023-04-05 11:51:43,Windshield cracked,Low,52,52
53,Parking dent,53,53,2025-07-06 10:15:21,Minor damage to bumper,Low,53,53
54,Side-swipe,54,54,2025-02-16 21:37:32,Windshield cracked,High,54,54
55,Rear-end collision,55,55,2020-05-12 11:52:28,Engine stalled in water,Low,55,55
56,Broken windshield,56,56,2020-02-06 03:42:22,Significant front-end damage,Low,56,56
57,Broken windshield,57,57,2023-05-19 19:05:18,Windshield cracked,Medium,57,57
58,Broken windshield,58,58,2022-06-26 22:47:41,Scratches and dents,Medium,58,58
59,Parking dent,59,59,2020-06-24 21:13:33,Windshield cracked,Medium,59,59
60,Flood damage,60,60,2021-11-29 07:53:26,Significant front-end damage,Low,60,60
61,Parking dent,61,61,2024-09-30 18:23:39,Windshield cracked,High,61,61
62,Broken windshield,62,62,2023-02-04 12:22:42,Windshield cracked,Low,62,62
63,Side-swipe,63,63,2022-04-26 07:12:53,Engine stalled in water,Medium,63,63
64,Side-swipe,64,64,2022-03-14 04:51:47,Windshield cracked,High,64,64
65,Theft report,65,65,2022-08-19 21:16:47,Minor damage to bumper,High,65,65
66,Side-swipe,66,66,2022-08-05 00:35:23,Windshield cracked,Low,66,66
67,Rear-end collision,67,67,2020-05-17 06:29:47,Engine stalled in water,Low,67,67
68,Broken windshield,68,68,2021-10-18 02:33:09,Scratches and dents,Medium,68,68
69,Flood damage,69,69,2022-03-02 16:42:15,Significant front-end damage,Low,69,69
70,Rear-end collision,70,70,2025-06-22 22:44:36,Engine stalled in water,Low,70,70
71,Side-swipe,71,71,2024-08-21 13:23:22,Scratches and dents,Medium,71,71
72,Rear-end collision,72,72,2025-02-18 17:59:45,Minor damage to bumper,High,72,72
73,Rear-end collision,73,73,2023-01-26 04:49:12,Significant front-end damage,High,73,73
74,Parking dent,74,74,2023-03-17 14:10:27,Engine stalled in water,High,74,74
75,Side-swipe,75,75,2023-02-13 19:40:35,Minor damage to bumper,High,75,75
76,Rear-end collision,76,76,2023-04-04 06:00:07,Windshield cracked,Low,76,76
77,Parking dent,77,77,2025-07-28 07:23:28,Significant front-end damage,Low,77,77
78,Parking dent,78,78,2020-10-18 09:39:57,Engine stalled in water,Medium,78,78
79,Broken windshield,79,79,2022-05-02 22:37:27,Engine stalled in water,Medium,79,79
80,Side-swipe,80,80,2024-11-17 17:13:42,Windshield cracked,High,80,80
81,Parking dent,81,81,2023-09-19 13:22:51,Scratches and dents,High,81,81
82,Flood damage,82,82,2025-01-12 12:43:20,Minor damage to bumper,High,82,82
83,Theft report,83,83,2022-04-01 19:25:11,Windshield cracked,High,83,83
84,Broken windshield,84,84,2020-04-13 23:37:15,Windshield cracked,High,84,84
85,Side-swipe,85,85,2021-02-13 20:39:24,Minor damage to bumper,Medium,85,85
86,Broken windshield,86,86,2024-12-26 18:37:20,Significant front-end damage,Low,86,86
87,Theft report,87,87,2024-10-09 16:25:30,Minor damage to bumper,Medium,87,87
88,Parking dent,88,88,2024-09-28 08:03:04,Scratches and dents,Medium,88,88
89,Side-swipe,89,89,2025-02-10 05:39:59,Engine stalled in water,Medium,89,89
90,Flood damage,90,90,2024-06-03 06:31:20,Engine stalled in water,Low,90,90
91,Parking dent,91,91,2025-07-12 02:38:47,Engine stalled in water,Medium,91,91
92,Side-swipe,92,92,2023-11-27 09:44:23,Windshield cracked,Low,92,92
93,Broken windshield,93,93,2021-03-15 05:53:22,Windshield cracked,High,93,93
94,Broken windshield,94,94,2025-02-05 03:07:16,Windshield cracked,High,94,94
95,Flood damage,95,95,2024-02-09 11:51:47,Minor damage to bumper,Low,95,95
96,Flood damage,96,96,2020-11-10 20:52:19,Scratches and dents,Medium,96,96
97,Rear-end collision,97,97,2023-07-09 19:19:55,Windshield cracked,Medium,97,97
98,Theft report,98,98,2022-05-11 05:58:28,Scratches and dents,Low,98,98
99,Broken windshield,99,99,2025-11-23 13:49:58,Windshield cracked,High,99,99
100,Rear-end collision,100,100,2021-08-03 08:07:20,Significant front-end damage,Medium,100,100
101,Parking dent,101,101,2023-01-08 19:42:00,Minor damage to bumper,Low,101,101
102,Parking dent,102,102,2023-05-15 04:08:43,Significant front-end damage,Low,102,102
103,Broken windshield,103,103,2022-02-20 02:19:49,Significant front-end damage,Medium,103,103
104,Side-swipe,104,104,2020-12-19 21:30:08,Significant front-end damage,High,104,104
105,Rear-end collision,105,105,2023-10-30 09:32:10,Scratches and dents,Medium,105,105
106,Flood damage,106,106,2021-10-17 00:01:56,Engine stalled in water,Medium,106,106
107,Theft report,107,107,2022-05-20 14:30:02,Significant front-end damage,Low,107,107
108,Broken windshield,108,108,2020-08-04 18:33:12,Engine stalled in water,High,108,108
109,Broken windshield,109,109,2021-05-29 09:36:26,Minor damage to bumper,Low,109,109
110,Flood damage,110,110,2021-05-20 11:52:24,Scratches and dents,Medium,110,110
111,Parking dent,111,111,2023-07-19 00:25:12,Minor damage to bumper,Low,111,111
112,Flood damage,112,112,2022-02-27 03:06:00,Minor damage to bumper,Low,112,112
113,Parking dent,113,113,2020-01-28 11:00:04,Minor damage to bumper,Low,113,113
114,Theft report,114,114,2025-09-14 12:48:56,Engine stalled in water,Medium,114,114
115,Parking dent,115,115,2021-07-18 22:47:34,Minor damage to bumper,Medium,115,115
116,Flood damage,116,116,2021-12-28 01:52:44,Windshield cracked,High,116,116
117,Side-swipe,117,117,2020-06-27 07:56:55,Scratches and dents,Low,117,117
118,Parking dent,118,118,2024-03-25 06:59:15,Significant front-end damage,High,118,118
119,Flood damage,119,119,2025-09-24 20:47:14,Engine stalled in water,Low,119,119
