id,claim_amount,claim_number,claim_status,status,fnol_id,policy_id,claim_severity,date_reported,incident_date,location,surveyor_id
1,13469.47,CLM-2021-000001,REGISTERED,,1,1,Low,2023-12-26,2023-12-20,Workshop B,1
2,19079.3,CLM-2022-000002,PAID,,2,2,High,2021-10-23,2021-10-06,On Site,2
3,8171.9,CLM-2023-000003,APPROVED,,3,3,High,2021-02-07,2021-02-06,Workshop B,3
4,13460.57,CLM-2024-000004,APPROVED,,4,4,High,2022-12-04,2022-11-28,Tow Yard,4
5,13704.92,CLM-2025-000005,REGISTERED,,5,5,Medium,2024-01-05,2023-12-30,On Site,5
6,6658.42,CLM-2020-000006,APPROVED,,6,6,Low,2023-06-20,2023-06-07,Workshop B,6
7,4937.07,CLM-2021-000007,REJECTED,,7,7,High,2025-06-07,2025-05-18,Tow Yard,7
8,9512.08,CLM-2022-000008,PAID,,8,8,High,2022-10-30,2022-10-28,Tow Yard,8
9,768.26,CLM-2023-000009,APPROVED,,9,9,High,2024-04-01,2024-03-22,Client Address,9
10,6945.98,CLM-2024-000010,REGISTERED,,10,10,Medium,2025-05-14,2025-04-30,Client Address,10
11,10109.35,CLM-2025-000011,REJECTED,,11,11,Medium,2024-07-06,2024-06-28,Workshop A,11
12,16676.43,CLM-2020-000012,REJECTED,,12,12,Low,2021-04-26,2021-04-06,Tow Yard,12
13,910.8,CLM-2021-000013,REGISTERED,,13,13,High,2025-06-21,2025-06-04,Tow Yard,13
14,2123.85,CLM-2022-000014,REGISTERED,,14,14,Medium,2021-07-14,2021-06-24,Client Address,14
15,13867.56,CLM-2023-000015,UNDER_REVIEW,,15,15,Medium,2023-02-19,2023-02-18,Client Address,15
16,12244.29,CLM-2024-000016,REGISTERED,,16,16,High,2020-11-26,2020-11-16,Tow Yard,16
17,18595.87,CLM-2025-000017,APPROVED,,17,17,High,2020-04-17,2020-03-29,Workshop B,17
18,8062.01,CLM-2020-000018,REGISTERED,,18,18,Medium,2023-12-21,2023-12-19,Workshop A,18
19,1719.27,CLM-2021-000019,REGISTERED,,19,19,Low,2024-02-19,2024-02-10,On Site,19
20,15463.32,CLM-2022-000020,PAID,,20,20,High,2021-02-18,2021-02-02,Tow Yard,20
21,13982.23,CLM-2023-000021,UNDER_REVIEW,,21,21,Low,2023-03-21,2023-03-06,Client Address,21
22,6010.16,CLM-2024-000022,REGISTERED,,22,22,High,2025-02-17,2025-02-16,Workshop A,22
23,15309.07,CLM-2025-000023,PAID,,23,23,High,2024-03-03,2024-02-18,On Site,23
24,16661.54,CLM-2020-000024,PAID,,24,24,High,2025-08-21,2025-08-20,Tow Yard,24
25,18688.28,CLM-2021-000025,APPROVED,,25,25,High,2021-10-16,2021-10-06,Workshop B,25
26,6860.19,CLM-2022-000026,PAID,,26,26,Low,2023-05-10,2023-04-22,Client Address,26
27,13597.12,CLM-2023-000027,REJECTED,,27,27,Medium,2021-05-14,2021-04-26,Tow Yard,27
28,5602.17,CLM-2024-000028,REGISTERED,,28,28,Medium,2025-08-27,2025-08-13,Workshop B,28
29,11539.49,CLM-2025-000029,UNDER_REVIEW,,29,29,High,2025-09-01,2025-08-26,Tow Yard,29
30,15367.86,CLM-2020-000030,REGISTERED,,30,30,High,2024-09-13,2024-08-25,Workshop B,30
31,4336.0,CLM-2021-000031,APPROVED,,31,31,Medium,2022-06-07,2022-05-23,Workshop A,31
32,511.49,CLM-2022-000032,PAID,,32,32,Low,2025-06-02,2025-05-18,Client Address,32
33,15851.86,CLM-2023-000033,REGISTERED,,33,33,Low,2024-04-21,2024-04-17,Tow Yard,33
34,6162.4,CLM-2024-000034,REJECTED,,34,34,High,2021-07-22,2021-07-14,Workshop A,34
35,927.95,CLM-2025-000035,APPROVED,,35,35,Low,2024-09-09,2024-08-23,On Site,35
36,17685.33,CLM-2020-000036,REJECTED,,36,36,Low,2020-04-29,2020-04-10,Client Address,36
37,11394.88,CLM-2021-000037,UNDER_REVIEW,,37,37,Medium,2021-11-16,2021-11-14,Workshop A,37
38,12745.83,CLM-2022-000038,REGISTERED,,38,38,Medium,2025-01-25,2025-01-23,On Site,38
39,16378.76,CLM-2023-000039,REJECTED,,39,39,Low,2020-02-03,2020-01-24,Workshop B,39
40,11017.85,CLM-2024-000040,UNDER_REVIEW,,40,40,Medium,2024-09-19,2024-09-08,Workshop A,40
41,7330.45,CLM-2025-000041,REJECTED,,41,41,Low,2025-02-07,2025-01-22,Workshop B,41
42,4262.85,CLM-2020-000042,UNDER_REVIEW,,42,42,Medium,2023-06-13,2023-06-10,Client Address,42
43,9348.46,CLM-2021-000043,UNDER_REVIEW,,43,43,High,2022-10-20,2022-10-17,Workshop A,43
44,15383.47,CLM-2022-000044,UNDER_REVIEW,,44,44,High,2025-12-08,2025-11-27,Workshop A,44
