id,address_line1,address_line2,city,country,created_at,latitude,location_type,longitude,postal_code,province,updated_at
1,755 Main Rd,Unit #87-759,Bangkok,Thailand,2021-07-03,13.607503,OTHER,100.410012,101161,Bangkok,2021-09-22
2,842 Main Rd,Unit #41-411,Penang,Malaysia,2019-08-18,5.343923,GARAGE,100.297285,79403,Penang,2019-12-23
3,750 River Rd,Unit #09-779,Jakarta,Indonesia,2019-11-19,-6.282622,OTHER,106.951204,813035,DKI Jakarta,2020-01-11
4,828 Hill Rd,Unit #71-101,Manila,Philippines,2019-11-05,14.615657,ACCIDENT_SITE,121.074897,693823,Metro Manila,2020-06-28
5,551 Orchard Rd,Unit #65-272,Singapore,Singapore,2020-02-14,1.334571,INSURED_ADDRESS,104.099227,988593,Central,2020-04-01
6,822 Beach Rd,Unit #95-831,Phuket,Thailand,2022-09-22,7.807436,INSURED_ADDRESS,98.420969,289766,Phuket,2023-04-30
7,441 Hill Rd,Unit #75-622,Phuket,Thailand,2022-03-21,7.964381,GARAGE,98.200122,497575,Phuket,2022-07-16
8,220 Main Rd,Unit #54-418,Kuala Lumpur,Malaysia,2020-09-17,3.080166,GARAGE,101.645759,578969,Kuala Lumpur,2021-09-23
9,118 Park Rd,Unit #28-477,Singapore,Singapore,2024-04-23,1.375334,GARAGE,103.719272,814150,Central,2025-04-10
10,738 River Rd,Unit #63-569,Penang,Malaysia,2019-12-17,5.30203,INSURED_ADDRESS,100.484419,734156,Penang,2020-04-28
11,255 Main Rd,Unit #72-783,Kuala Lumpur,Malaysia,2022-05-29,3.07984,BRANCH_OFFICE,101.69071,645770,Kuala Lumpur,2022-07-21
12,842 Market Rd,Unit #74-042,Singapore,Singapore,2019-03-26,1.242832,INSURED_ADDRESS,104.080956,503355,Central,2020-03-14
13,901 Orchard Rd,Unit #09-283,Johor Bahru,Malaysia,2024-09-12,1.505127,BRANCH_OFFICE,103.676717,366385,Johor,2025-10-09
14,816 Main Rd,Unit #38-368,Kuala Lumpur,Malaysia,2019-07-08,3.1888,GARAGE,101.775856,461607,Kuala Lumpur,2019-12-31
15,514 Market Rd,Unit #22-264,Phuket,Thailand,2023-02-07,7.852692,BRANCH_OFFICE,98.239648,855664,Phuket,2023-11-15
16,94 Beach Rd,Unit #28-658,Singapore,Singapore,2020-05-15,1.319535,OTHER,103.694904,32394,Central,2021-01-12
17,667 Hill Rd,Unit #71-739,Johor Bahru,Malaysia,2020-04-13,1.500555,INSURED_ADDRESS,103.68604,460961,Johor,2021-03-24
18,649 Main Rd,Unit #12-765,Kuala Lumpur,Malaysia,2020-08-04,3.163264,OTHER,101.650196,235583,Kuala Lumpur,2021-08-28
19,821 Park Rd,Unit #59-852,Phuket,Thailand,2022-08-23,7.886855,GARAGE,98.32151,102410,Phuket,2022-11-28
20,106 Hill Rd,Unit #44-732,Chiang Mai,Thailand,2019-09-11,18.821001,ACCIDENT_SITE,99.000273,539057,Chiang Mai,2020-05-08
21,421 Market Rd,Unit #87-737,Surabaya,Indonesia,2023-11-28,-7.188191,INSURED_ADDRESS,112.649662,475776,East Java,2023-12-30
22,114 Hill Rd,Unit #37-244,Kuala Lumpur,Malaysia,2024-12-01,3.159761,GARAGE,101.731809,137767,Kuala Lumpur,2025-07-15
23,340 Market Rd,Unit #16-819,Jakarta,Indonesia,2019-07-15,-6.214167,GARAGE,106.944855,468176,DKI Jakarta,2020-06-24
24,121 Market Rd,Unit #34-721,Singapore,Singapore,2023-05-05,1.403919,BRANCH_OFFICE,103.849522,234993,Central,2024-02-26
25,641 Market Rd,Unit #79-547,Bangkok,Thailand,2022-01-29,13.675182,ACCIDENT_SITE,100.554023,536986,Bangkok,2022-04-13
26,221 Park Rd,Unit #46-050,Singapore,Singapore,2024-02-16,1.242512,ACCIDENT_SITE,103.796621,305023,Central,2024-06-28
27,486 Market Rd,Unit #84-802,Bangkok,Thailand,2019-04-20,13.893969,OTHER,100.533481,615693,Bangkok,2020-02-29
28,207 Hill Rd,Unit #69-278,Chiang Mai,Thailand,2024-05-16,18.884802,OTHER,99.031194,739988,Chiang Mai,2024-09-12
29,877 Beach Rd,Unit #52-847,Manila,Philippines,2020-12-19,14.641945,BRANCH_OFFICE,121.051457,550310,Metro Manila,2021-11-06
30,136 Park Rd,Unit #54-468,Bangkok,Thailand,2019-08-16,13.869667,OTHER,100.478193,70541,Bangkok,2020-04-14
31,223 Hill Rd,Unit #08-144,Jakarta,Indonesia,2021-08-17,-6.077838,OTHER,106.760906,313314,DKI Jakarta,2022-05-30
32,478 Park Rd,Unit #84-368,Phuket,Thailand,2022-03-05,8.074538,GARAGE,98.365624,284267,Phuket,2022-09-25
33,197 Park Rd,Unit #68-259,Kuala Lumpur,Malaysia,2020-09-01,3.071403,GARAGE,101.574078,290310,Kuala Lumpur,2021-01-12
34,31 Beach Rd,Unit #35-803,Surabaya,Indonesia,2023-06-13,-7.196199,BRANCH_OFFICE,112.886458,524435,East Java,2023-12-07
35,632 Orchard Rd,Unit #59-110,Bangkok,Thailand,2024-07-23,13.708337,INSURED_ADDRESS,100.677689,329457,Bangkok,2025-06-02
36,340 Hill Rd,Unit #56-109,Surabaya,Indonesia,2023-06-25,-7.341141,ACCIDENT_SITE,112.895082,113396,East Java,2024-07-24
37,334 Orchard Rd,Unit #59-117,Surabaya,Indonesia,2021-02-04,-7.32965,GARAGE,112.861594,713281,East Java,2021-08-20
38,844 Market Rd,Unit #70-843,Penang,Malaysia,2022-01-02,5.402161,ACCIDENT_SITE,100.371814,806922,Penang,2022-10-17
39,996 River Rd,Unit #82-681,Surabaya,Indonesia,2020-01-17,-7.349505,GARAGE,112.832241,901401,East Java,2021-02-04
40,793 Hill Rd,Unit #97-896,Bangkok,Thailand,2020-07-15,13.694005,INSURED_ADDRESS,100.652396,682741,Bangkok,2021-02-05
41,730 Park Rd,Unit #99-426,Singapore,Singapore,2022-03-19,1.45717,BRANCH_OFFICE,103.798988,745901,Central,2023-02-13
42,48 River Rd,Unit #47-393,Jakarta,Indonesia,2019-02-20,-6.077766,INSURED_ADDRESS,106.601027,197654,DKI Jakarta,2019-07-05
43,87 Park Rd,Unit #13-518,Penang,Malaysia,2024-02-21,5.382611,INSURED_ADDRESS,100.468673,678169,Penang,2025-03-19
44,67 Orchard Rd,Unit #83-455,Bangkok,Thailand,2019-11-04,13.774697,INSURED_ADDRESS,100.403528,106446,Bangkok,2019-11-25
45,243 Park Rd,Unit #41-826,Chiang Mai,Thailand,2020-12-12,18.887041,GARAGE,99.098308,968377,Chiang Mai,2021-03-22
46,328 Orchard Rd,Unit #82-907,Johor Bahru,Malaysia,2021-09-01,1.464064,ACCIDENT_SITE,103.749069,871574,Johor,2022-03-07
47,100 Main Rd,Unit #27-175,Singapore,Singapore,2024-05-21,1.326901,GARAGE,103.747275,95916,Central,2024-09-10
48,116 River Rd,Unit #20-152,Singapore,Singapore,2024-11-10,1.416638,OTHER,103.911529,626493,Central,2025-06-22
49,844 River Rd,Unit #65-407,Singapore,Singapore,2022-01-27,1.449508,ACCIDENT_SITE,103.952317,724263,Central,2022-08-13
50,414 Beach Rd,Unit #41-698,Kuala Lumpur,Malaysia,2019-08-21,3.153459,INSURED_ADDRESS,101.610076,766320,Kuala Lumpur,2020-07-03
51,780 Hill Rd,Unit #22-591,Chiang Mai,Thailand,2022-01-25,18.8269,INSURED_ADDRESS,98.900943,523358,Chiang Mai,2022-05-22
52,719 Orchard Rd,Unit #27-712,Phuket,Thailand,2021-11-01,7.933294,ACCIDENT_SITE,98.237079,325743,Phuket,2022-07-11
53,410 River Rd,Unit #35-856,Bangkok,Thailand,2020-04-11,13.711787,BRANCH_OFFICE,100.437089,733415,Bangkok,2020-11-12
54,414 River Rd,Unit #05-571,Chiang Mai,Thailand,2019-03-14,18.723741,OTHER,98.999475,10177,Chiang Mai,2019-05-15
55,624 Beach Rd,Unit #98-255,Surabaya,Indonesia,2023-04-25,-7.228768,GARAGE,112.696553,427196,East Java,2023-12-05
56,890 Hill Rd,Unit #57-850,Penang,Malaysia,2021-04-11,5.31076,INSURED_ADDRESS,100.423101,965762,Penang,2022-03-04
57,920 Beach Rd,Unit #25-329,Penang,Malaysia,2019-06-29,5.460563,OTHER,100.333667,96345,Penang,2019-12-07
58,6 Park Rd,Unit #77-404,Singapore,Singapore,2020-05-19,1.358381,OTHER,103.877535,584122,Central,2020-06-19
59,752 Beach Rd,Unit #10-745,Manila,Philippines,2021-03-15,14.714678,ACCIDENT_SITE,120.928,945440,Metro Manila,2021-08-06
60,258 River Rd,Unit #29-529,Chiang Mai,Thailand,2019-11-15,18.817536,BRANCH_OFFICE,99.079645,380040,Chiang Mai,2020-08-15
61,430 Hill Rd,Unit #20-621,Bangkok,Thailand,2024-08-27,13.604969,ACCIDENT_SITE,100.509085,196040,Bangkok,2025-08-22
62,236 River Rd,Unit #90-973,Phuket,Thailand,2020-05-02,8.020735,INSURED_ADDRESS,98.4565,115149,Phuket,2021-05-29
63,5 Market Rd,Unit #23-417,Surabaya,Indonesia,2023-07-13,-7.157389,OTHER,112.736428,121636,East Java,2024-05-12
64,188 Hill Rd,Unit #66-287,Johor Bahru,Malaysia,2022-01-30,1.539812,BRANCH_OFFICE,103.776197,242881,Johor,2022-10-18
65,488 Hill Rd,Unit #81-099,Phuket,Thailand,2021-06-01,7.829692,BRANCH_OFFICE,98.249003,790762,Phuket,2021-10-19
66,235 Orchard Rd,Unit #95-291,Surabaya,Indonesia,2023-05-16,-7.318945,BRANCH_OFFICE,112.79645,666912,East Java,2023-10-31
67,193 Hill Rd,Unit #09-187,Manila,Philippines,2022-01-06,14.662114,INSURED_ADDRESS,121.006389,313662,Metro Manila,2022-08-15
68,242 Beach Rd,Unit #56-333,Jakarta,Indonesia,2021-06-11,-6.191872,ACCIDENT_SITE,106.620835,185490,DKI Jakarta,2021-08-17
69,158 Park Rd,Unit #37-331,Penang,Malaysia,2024-07-30,5.46381,BRANCH_OFFICE,100.256961,682036,Penang,2025-05-18
70,925 Market Rd,Unit #71-333,Penang,Malaysia,2023-12-20,5.367503,GARAGE,100.247453,442373,Penang,2024-06-27
71,797 Beach Rd,Unit #49-056,Bangkok,Thailand,2019-02-16,13.860936,GARAGE,100.390687,559855,Bangkok,2020-01-16
72,758 Main Rd,Unit #32-972,Chiang Mai,Thailand,2019-12-18,18.731198,OTHER,99.045697,981746,Chiang Mai,2020-02-23
73,912 Hill Rd,Unit #04-967,Penang,Malaysia,2021-11-21,5.355176,OTHER,100.218603,303804,Penang,2022-06-17
74,666 Market Rd,Unit #24-873,Johor Bahru,Malaysia,2024-04-04,1.463409,BRANCH_OFFICE,103.769228,525318,Johor,2025-04-13
75,93 Market Rd,Unit #42-709,Johor Bahru,Malaysia,2021-04-07,1.452491,INSURED_ADDRESS,103.690736,763270,Johor,2021-12-05
76,677 Beach Rd,Unit #90-610,Phuket,Thailand,2022-03-10,8.098121,OTHER,98.248401,835551,Phuket,2023-01-26
77,332 Hill Rd,Unit #01-117,Manila,Philippines,2024-09-06,14.697549,GARAGE,120.961555,367943,Metro Manila,2025-06-24
78,795 Market Rd,Unit #19-788,Jakarta,Indonesia,2024-11-14,-6.197965,ACCIDENT_SITE,106.793389,872074,DKI Jakarta,2025-05-01
79,777 Beach Rd,Unit #69-081,Surabaya,Indonesia,2021-03-22,-7.278875,BRANCH_OFFICE,112.6997,605370,East Java,2022-04-01
80,112 Beach Rd,Unit #77-790,Johor Bahru,Malaysia,2019-10-13,1.467617,BRANCH_OFFICE,103.791177,353312,Johor,2020-08-24
81,87 Orchard Rd,Unit #83-826,Kuala Lumpur,Malaysia,2023-11-24,3.194268,BRANCH_OFFICE,101.671675,911935,Kuala Lumpur,2024-02-11
82,259 Orchard Rd,Unit #79-288,Manila,Philippines,2019-11-11,14.62119,GARAGE,120.925364,909529,Metro Manila,2020-04-11
83,346 Beach Rd,Unit #89-185,Johor Bahru,Malaysia,2021-03-09,1.527315,GARAGE,103.749818,584213,Johor,2021-12-10
84,153 Beach Rd,Unit #82-001,Surabaya,Indonesia,2019-03-18,-7.204491,ACCIDENT_SITE,112.833171,706889,East Java,2019-12-07
85,892 Hill Rd,Unit #69-153,Jakarta,Indonesia,2024-02-21,-6.057869,OTHER,106.866927,254303,DKI Jakarta,2025-02-12
86,961 Orchard Rd,Unit #79-709,Kuala Lumpur,Malaysia,2023-08-15,3.177965,ACCIDENT_SITE,101.680772,635236,Kuala Lumpur,2023-12-25
87,222 Park Rd,Unit #59-183,Johor Bahru,Malaysia,2023-11-21,1.508509,BRANCH_OFFICE,103.610868,401627,Johor,2024-02-13
88,766 Park Rd,Unit #04-466,Singapore,Singapore,2024-02-25,1.339946,BRANCH_OFFICE,103.752418,819327,Central,2024-12-23
89,401 Orchard Rd,Unit #37-982,Bangkok,Thailand,2019-12-24,13.656506,ACCIDENT_SITE,100.653592,124677,Bangkok,2020-02-13
90,325 Market Rd,Unit #19-382,Chiang Mai,Thailand,2019-05-23,18.736899,BRANCH_OFFICE,99.012497,576091,Chiang Mai,2020-05-07
91,426 Hill Rd,Unit #57-296,Johor Bahru,Malaysia,2023-12-25,1.53743,INSURED_ADDRESS,103.61752,854809,Johor,2025-01-17
92,168 Main Rd,Unit #35-370,Kuala Lumpur,Malaysia,2020-07-08,3.113936,BRANCH_OFFICE,101.769579,677153,Kuala Lumpur,2021-01-16
93,20 Hill Rd,Unit #62-776,Jakarta,Indonesia,2020-04-02,-6.260935,BRANCH_OFFICE,106.631442,54582,DKI Jakarta,2020-05-21
94,395 Market Rd,Unit #59-615,Penang,Malaysia,2024-07-15,5.444427,GARAGE,100.224674,730420,Penang,2024-09-22
95,770 Park Rd,Unit #99-505,Kuala Lumpur,Malaysia,2019-11-10,3.110551,BRANCH_OFFICE,101.705808,221740,Kuala Lumpur,2020-10-23
96,346 Orchard Rd,Unit #03-552,Surabaya,Indonesia,2022-06-02,-7.333012,GARAGE,112.806397,49193,East Java,2022-08-09
97,960 Beach Rd,Unit #69-829,Surabaya,Indonesia,2024-03-29,-7.250159,OTHER,112.798242,904199,East Java,2024-08-23
98,853 Park Rd,Unit #95-400,Jakarta,Indonesia,2022-07-07,-6.120054,INSURED_ADDRESS,106.909276,990942,DKI Jakarta,2023-01-01
99,712 Main Rd,Unit #98-054,Manila,Philippines,2022-08-31,14.626584,INSURED_ADDRESS,120.970371,670766,Metro Manila,2023-04-30
100,812 Orchard Rd,Unit #04-298,Manila,Philippines,2021-01-08,14.681677,GARAGE,120.937873,256924,Metro Manila,2021-08-15
101,194 Orchard Rd,Unit #07-236,Johor Bahru,Malaysia,2023-12-08,1.526368,INSURED_ADDRESS,103.630253,47604,Johor,2024-01-14
102,183 Orchard Rd,Unit #99-887,Penang,Malaysia,2023-06-22,5.49038,BRANCH_OFFICE,100.314417,103520,Penang,2023-11-09
103,17 Main Rd,Unit #95-678,Surabaya,Indonesia,2019-12-01,-7.187435,BRANCH_OFFICE,112.706637,198274,East Java,2020-08-24
104,342 Main Rd,Unit #14-646,Jakarta,Indonesia,2023-05-24,-6.211551,BRANCH_OFFICE,106.93178,445878,DKI Jakarta,2023-06-29
105,827 Main Rd,Unit #44-441,Chiang Mai,Thailand,2024-08-24,18.835386,ACCIDENT_SITE,98.934943,657561,Chiang Mai,2024-09-19
106,454 Orchard Rd,Unit #99-011,Johor Bahru,Malaysia,2023-01-21,1.545184,OTHER,103.703231,999481,Johor,2023-02-15
107,348 Orchard Rd,Unit #96-596,Bangkok,Thailand,2019-01-22,13.734621,OTHER,100.528974,759361,Bangkok,2019-09-21
108,811 Orchard Rd,Unit #19-803,Manila,Philippines,2024-06-13,14.747755,OTHER,120.960652,452244,Metro Manila,2024-07-07
109,425 Main Rd,Unit #68-325,Johor Bahru,Malaysia,2023-11-26,1.536197,BRANCH_OFFICE,103.604653,279670,Johor,2024-03-07
110,62 River Rd,Unit #35-613,Johor Bahru,Malaysia,2020-11-16,1.546111,GARAGE,103.724146,890266,Johor,2020-11-26
111,506 Market Rd,Unit #05-288,Bangkok,Thailand,2021-06-24,13.844884,BRANCH_OFFICE,100.550095,958444,Bangkok,2021-10-31
112,254 Main Rd,Unit #61-245,Singapore,Singapore,2022-10-01,1.339992,GARAGE,104.00403,882957,Central,2023-02-16
113,983 Beach Rd,Unit #97-367,Singapore,Singapore,2023-11-21,1.235123,GARAGE,103.755833,622018,Central,2024-08-19
114,868 Park Rd,Unit #32-183,Manila,Philippines,2020-12-14,14.543537,INSURED_ADDRESS,121.077076,32536,Metro Manila,2021-06-15
115,884 Orchard Rd,Unit #51-224,Surabaya,Indonesia,2021-04-11,-7.220053,GARAGE,112.66216,455668,East Java,2021-12-08
116,602 Hill Rd,Unit #71-776,Jakarta,Indonesia,2021-08-15,-6.082999,BRANCH_OFFICE,106.68395,767607,DKI Jakarta,2022-05-16
117,161 Main Rd,Unit #17-550,Penang,Malaysia,2023-08-10,5.302209,BRANCH_OFFICE,100.298032,511482,Penang,2024-03-07
118,259 Orchard Rd,Unit #65-046,Penang,Malaysia,2024-01-22,5.453308,BRANCH_OFFICE,100.297804,38015,Penang,2024-04-25
119,576 Beach Rd,Unit #25-640,Singapore,Singapore,2022-09-01,1.32392,INSURED_ADDRESS,103.653842,989713,Central,2023-02-23
120,658 Main Rd,Unit #31-946,Chiang Mai,Thailand,2023-03-20,18.799745,OTHER,98.940402,475280,Chiang Mai,2023-07-12
121,391 River Rd,Unit #11-778,Kuala Lumpur,Malaysia,2019-03-23,3.213921,GARAGE,101.74839,634094,Kuala Lumpur,2020-04-26
122,932 Orchard Rd,Unit #55-170,Phuket,Thailand,2019-11-26,8.011821,BRANCH_OFFICE,98.492244,275154,Phuket,2020-08-27
123,533 Hill Rd,Unit #35-955,Bangkok,Thailand,2023-03-19,13.663321,BRANCH_OFFICE,100.616715,506219,Bangkok,2024-01-31
124,785 Market Rd,Unit #29-737,Phuket,Thailand,2022-08-30,8.098008,GARAGE,98.208767,708281,Phuket,2023-03-24
125,830 Market Rd,Unit #20-848,Jakarta,Indonesia,2023-03-23,-6.151492,INSURED_ADDRESS,106.881656,899265,DKI Jakarta,2023-05-02
126,886 Hill Rd,Unit #84-392,Phuket,Thailand,2020-01-03,8.032755,GARAGE,98.497349,673049,Phuket,2020-09-06
127,552 Park Rd,Unit #27-705,Chiang Mai,Thailand,2022-12-13,18.804533,ACCIDENT_SITE,99.097204,704804,Chiang Mai,2023-10-29
128,278 Park Rd,Unit #13-919,Bangkok,Thailand,2022-03-01,13.758688,ACCIDENT_SITE,100.580182,189041,Bangkok,2022-12-18
129,436 Beach Rd,Unit #69-768,Phuket,Thailand,2019-01-30,7.80417,GARAGE,98.257055,266089,Phuket,2020-02-09
130,860 River Rd,Unit #21-144,Penang,Malaysia,2023-12-02,5.462309,GARAGE,100.232608,793381,Penang,2024-11-12
131,437 Main Rd,Unit #79-205,Kuala Lumpur,Malaysia,2021-02-26,3.130257,ACCIDENT_SITE,101.618465,916336,Kuala Lumpur,2021-05-21
132,207 Park Rd,Unit #93-158,Penang,Malaysia,2024-04-26,5.423802,ACCIDENT_SITE,100.290443,144041,Penang,2025-05-30
133,86 Beach Rd,Unit #71-271,Singapore,Singapore,2023-02-20,1.382161,INSURED_ADDRESS,103.916341,438178,Central,2023-08-15
134,255 Hill Rd,Unit #11-275,Singapore,Singapore,2019-06-29,1.410861,INSURED_ADDRESS,103.922241,994191,Central,2019-09-14
135,883 Orchard Rd,Unit #84-151,Johor Bahru,Malaysia,2019-11-09,1.516173,GARAGE,103.786576,164958,Johor,2019-11-20
136,56 Beach Rd,Unit #14-679,Phuket,Thailand,2023-10-06,8.019924,OTHER,98.408837,87353,Phuket,2024-04-23
137,246 Market Rd,Unit #21-555,Bangkok,Thailand,2022-10-06,13.623343,ACCIDENT_SITE,100.541276,78492,Bangkok,2022-10-30
138,147 Hill Rd,Unit #40-561,Kuala Lumpur,Malaysia,2020-02-03,3.16338,ACCIDENT_SITE,101.798601,533147,Kuala Lumpur,2020-02-20
139,720 Beach Rd,Unit #61-118,Chiang Mai,Thailand,2024-06-14,18.712894,GARAGE,98.968485,486660,Chiang Mai,2024-10-10
140,993 Park Rd,Unit #13-038,Johor Bahru,Malaysia,2024-01-15,1.544332,INSURED_ADDRESS,103.771453,791931,Johor,2024-12-17
141,991 Hill Rd,Unit #60-423,Bangkok,Thailand,2020-05-24,13.658668,BRANCH_OFFICE,100.48783,17974,Bangkok,2020-11-29
142,799 Hill Rd,Unit #49-789,Jakarta,Indonesia,2021-10-01,-6.210923,GARAGE,106.814167,701281,DKI Jakarta,2022-10-17
143,281 River Rd,Unit #26-977,Kuala Lumpur,Malaysia,2020-06-02,3.093952,ACCIDENT_SITE,101.731936,375484,Kuala Lumpur,2020-10-27
144,623 Hill Rd,Unit #86-077,Surabaya,Indonesia,2022-02-12,-7.307565,OTHER,112.665239,946026,East Java,2023-02-23
145,889 Main Rd,Unit #34-905,Chiang Mai,Thailand,2019-01-21,18.86323,ACCIDENT_SITE,99.007512,126185,Chiang Mai,2020-01-18
146,473 Main Rd,Unit #96-113,Manila,Philippines,2020-02-23,14.605773,INSURED_ADDRESS,121.037253,27393,Metro Manila,2020-05-18
147,698 Main Rd,Unit #22-192,Manila,Philippines,2020-11-28,14.713141,GARAGE,121.037587,953581,Metro Manila,2021-05-18
148,604 River Rd,Unit #36-317,Manila,Philippines,2022-09-18,14.727582,INSURED_ADDRESS,120.969769,53096,Metro Manila,2023-04-16
149,313 Main Rd,Unit #39-581,Jakarta,Indonesia,2021-03-28,-6.224994,BRANCH_OFFICE,106.766525,582344,DKI Jakarta,2021-09-08
150,705 Orchard Rd,Unit #15-069,Manila,Philippines,2024-06-09,14.679786,ACCIDENT_SITE,121.087306,170455,Metro Manila,2025-05-04
151,179 Beach Rd,Unit #20-361,Chiang Mai,Thailand,2024-10-02,18.88051,OTHER,99.005011,365772,Chiang Mai,2024-11-13
152,190 Beach Rd,Unit #94-981,Singapore,Singapore,2019-10-22,1.30989,OTHER,103.804014,530277,Central,2020-04-23
153,37 River Rd,Unit #65-231,Penang,Malaysia,2019-06-20,5.395754,GARAGE,100.238839,462476,Penang,2019-08-22
154,327 Beach Rd,Unit #70-516,Penang,Malaysia,2024-11-27,5.358537,ACCIDENT_SITE,100.396093,66620,Penang,2025-04-22
155,256 Hill Rd,Unit #70-303,Jakarta,Indonesia,2022-01-28,-6.260438,GARAGE,106.606073,608823,DKI Jakarta,2022-03-22
156,209 Market Rd,Unit #74-381,Bangkok,Thailand,2019-11-14,13.752081,BRANCH_OFFICE,100.345273,84861,Bangkok,2020-03-24
157,236 Park Rd,Unit #17-948,Chiang Mai,Thailand,2024-01-13,18.830666,OTHER,99.021044,266842,Chiang Mai,2024-08-24
158,238 Market Rd,Unit #64-350,Johor Bahru,Malaysia,2022-02-18,1.467672,ACCIDENT_SITE,103.744507,601534,Johor,2022-04-18
159,283 River Rd,Unit #81-754,Jakarta,Indonesia,2024-09-07,-6.081792,OTHER,106.730846,714728,DKI Jakarta,2025-03-07
160,117 Market Rd,Unit #90-408,Phuket,Thailand,2022-07-30,7.834746,INSURED_ADDRESS,98.339421,821264,Phuket,2023-07-13
161,161 Market Rd,Unit #39-025,Penang,Malaysia,2024-06-09,5.320504,INSURED_ADDRESS,100.319381,672233,Penang,2024-07-10
162,256 Main Rd,Unit #19-413,Bangkok,Thailand,2024-06-29,13.628617,OTHER,100.367702,888780,Bangkok,2025-05-08
163,537 Beach Rd,Unit #61-011,Johor Bahru,Malaysia,2020-07-08,1.496288,GARAGE,103.78724,446525,Johor,2020-10-10
164,403 River Rd,Unit #50-724,Chiang Mai,Thailand,2021-09-13,18.760512,BRANCH_OFFICE,99.052001,382235,Chiang Mai,2022-07-06
